Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Aciclovir 400mg Tab,Pharmaceuticals,,2212191054221,,1.16,158.6207,3.0,,0,0,1,0,1,Exp: 05/23,,0,0,1,1
Acidom 20mg Cap,Pharmaceuticals,,2212172044524,,2,50,3.0,,0,0,1,0,1,Exp: 11/24,,0,0,1,1
Aboniki Balm Oint,Pharmaceuticals,,2212180044158,,8.2,46.3415,12.0,,0,0,1,0,1,Exp: 02/25,,0,0,1,1
Abidec Syrup,Pharmaceuticals,,2212140957009,,140,45,203.0,,0,0,1,0,1,Exp: 06/23,,0,0,1,1
Abc Vitamic C Syr,Pharmaceuticals,,2212141019027,,4.28,227.1028,14.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,1
Abc Par + Ibu Syr,Pharmaceuticals,,,,5.99,40,0.0,,0,0,0,0,0,,,,,,
Cold-C Syr,Pharmaceuticals,,2211271235208,,12.85,40.0778,18.0,,0,0,1,0,1,Exp: 04/24,,0,0,1,2
ABC Cold Syr,Pharmaceuticals,,2212141304031,,9.2,41.3043,13.0,,0,0,1,0,1,Exp: 04/25,,0,0,1,1
Alvite Syrup,Pharmaceuticals,,2212141408265,,7.14,40.056,10.0,,0,0,1,0,1,Exp: 07/23,,0,0,1,1
Aludrox Tab M&G/ Strip,Pharmaceuticals,,,,1,50,1.5,,0,0,0,0,1,,,,,,
Basic Nutrition - Glucosamine & Chondroitin (30 Tabs),Pharmaceuticals,,2211252236514,,25,40,35.0,,0,0,1,0,1,Exp: 11/23,,0,0,1,5
Alpha Odourless Garlic 30,Pharmaceuticals,,2211252216196,,36.18,52.0177,55.0,,0,0,1,0,1,Exp: 06/24,,0,0,1,5
Alive Typhoid King,Pharmaceuticals,,2211271422004,,14.28,40.056,20.0,,0,0,1,0,1,Exp: 01/26,,0,0,1,2
Amcof Baby Syr 3+months,Pharmaceuticals,,2212141300408,,13.15,52.0913,20.0,,0,0,1,0,1,Exp:,,0,0,1,1
Agbeve Herbal Tonic,Pharmaceuticals,,2211271348205,,25.3,46.2451,37.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,2
Agbeve Pevah,Pharmaceuticals,,2211271612535,,6.42,40.1869,9.0,,0,0,1,0,1,Exp: 05/23,,0,0,1,2
Amcof Adult Syr,Pharmaceuticals,,2212141426351,,13,53.8462,20.0,,0,0,1,0,1,11/24,,0,0,1,1
Adom Koo Ointment,Pharmaceuticals,,2211271728519,,11,45.4545,16.0,,0,0,1,0,1,Exp: 03/24,,0,0,1,2
Adom Kooko Caps,Pharmaceuticals,,2211271735548,,33.9,47.4926,50.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,2
Adom Koo Mixture,Pharmaceuticals,,2211271511364,,16.95,47.4926,25.0,,0,0,1,0,1,Exp: 12/24,,0,0,1,2
Adom Ladies Care Mixture,Pharmaceuticals,,2211271509446,,13.21,40.0454,18.5,,0,0,1,0,1,Exp: 02/24,,0,0,1,2
Adom Natural Man Caps,Pharmaceuticals,,2211271736392,,18.57,40.0108,26.0,,0,0,1,0,1,Exp: 05/25,,0,0,1,2
Adom Natural Man Mixture,Pharmaceuticals,,2211271505561,,17.1,40.3509,24.0,,0,0,1,0,1,Exp: 05/24,,0,0,1,2
Adom P Away Caps,Pharmaceuticals,,2211271731441,,17.85,40.056,25.0,,0,0,1,0,1,Exp: 01/23,,0,0,1,2
Adom W/G Syr,Pharmaceuticals,,,,16.5,40,0.0,,0,0,0,0,0,,,,,,
Amlodipine 10mg (Teva),Pharmaceuticals,,2212171942418,,10.85,84.3318,20.0,,0,0,1,0,1,Exp: 09/26,,0,0,1,1
Apc 10x10 / strip Tab,Pharmaceuticals,,2212180038515,,2.14,40.1869,3.0,,0,0,1,0,1,Exp: 04/24,,0,0,1,1
Apc 50x4 / strip Tab,Pharmaceuticals,,2212180039185,,1.07,40.1869,1.5,,0,0,1,0,1,Exp: 09/23,,0,0,1,1
Apetamin Syr,Pharmaceuticals,,2212141343399,,35,71.4286,60.0,,0,0,0,0,1,Exp:,,0,0,1,1
Apetatrust 100ml Syr,Pharmaceuticals,,2212141359338,,13.5,48.1481,20.0,,0,0,1,0,1,Exp: 10/23,,0,0,1,1
Apetatrust Syr200ml,Pharmaceuticals,,,,24.5,46.9388,36.0,,0,0,0,0,1,,,,,,
Aquafresh Little Tpaste,Non-pharmaceuticals,,2211280955432,,12.85,40.0778,18.0,,0,0,1,0,1,,,0,0,1,2
